,lnum,norm,relative_error_x,original_frobenius_norm,original_spectral_norm,original_nuclear_norm,original_condition_number,original_shannon_entropy,diff_frobenius_norm,diff_spectral_norm,diff_nuclear_norm,diff_condition_number,diff_shannon_entropy,energy_retained,lnum_over_spectral,edited_frobenius_norm,edited_spectral_norm,edited_nuclear_norm,edited_condition_number,edited_cut_off_sv,edited_shannon_entropy
attention.output.dense,0.5592084287216857,0.38390579091323396,0.4458947795931678,,,,,,,,,,,,,-0.251629788106863,-0.3822089362883897,-0.20615392966768398,0.1228176234625427,-0.48444316612947325,0.6555405508564307
attention.self.key,-0.3757850314270309,0.229422179706996,0.06710077267968041,0.21482838945140648,0.20048005778880318,0.21687590768171797,0.07231648263505681,-0.07682538440641096,0.22941861506084468,0.2243657947101864,0.21412590231358214,0.37873263025491777,-0.2253204526538295,-0.0710815913913695,-0.36360143393396455,0.20475685533982366,0.20048063465311025,0.21399674129800605,0.25109589579677166,-0.15193255282247412,-0.031320345357788215
attention.self.query,0.03839369278327265,-0.24670096287735577,0.08743716065713,-0.3014669107915058,-0.23671729821368417,-0.2747889395416505,0.17782855225211,0.04074093843301703,-0.24722202049924125,-0.27367466075591973,-0.24321186566994887,-0.22670964095586282,-0.07400412217242386,-0.07797914917468145,0.006227840329235151,-0.3324151619008118,-0.23671707004519194,-0.3187317529680266,-0.042277600742787,0.16570664293052714,0.08542544964864607
attention.self.value,0.22905128947918227,0.26258052739294524,-0.11340761019507198,0.41657673389144917,0.5167496089882427,0.38418642106686784,0.0024999498768406205,-0.11840671313301676,0.2625401488859423,0.33865130445763697,0.22263851261224293,0.23364242012876335,-0.10258495604566557,0.10662991912274523,0.24306241579308346,0.3861552917122302,0.516750833771314,0.37658579425702754,-0.2000589793682338,0.20213404600173937,-0.12971632455530258
intermediate.dense.weight,0.665883182149577,-0.5905611461627617,0.32804354715646133,-0.6403197683757865,-0.5649436029630206,-0.6110819680194014,0.2625636010094721,0.5374739647879809,-0.5906717885329742,-0.6580255031998811,-0.5603480059759383,0.30664058817129103,0.5255735761881736,-0.3316776761810584,0.6498295626715608,-0.6594960718826303,-0.5649438168583467,-0.676296478614483,0.06191528953322201,-0.26951780908402395,-0.14209655286443135
output.dense.weight,-0.07820865162141213,0.048870921603912904,-0.22270840088975696,,,,,,,,,,,,,0.1474551341224603,-0.037400965358562965,0.1439892510232812,0.217735712673505,-0.10938887369669313,0.060594292856636506
attention.dense.weight,0.251902412472215,0.5877980055513882,0.317281437952095,0.45397097504259354,-0.6698006271906324,0.6006024201501537,0.02701132821033468,0.5981387062139126,0.6635812323204853,0.6141908366713426,0.6937317010215054,0.40180785300597077,0.11072416760115673,-0.6434850528319167,0.25632056152366683,0.29222228677819356,-0.6698003614775223,0.3872223847412942,0.006863706156568679,-0.2831801221069562,0.7789436431018043
attention.query_key_value.weight,0.15702706563244712,-0.18574549416354516,0.025435521004638223,-0.16282338082226425,-0.17132217966591193,-0.052958078325582324,-0.13233693280301628,0.3357950701893699,0.019468298940261614,-0.0979603426635565,0.03964437765643399,0.3080412301406159,0.27378709073121615,-0.34284426603220125,0.141920167628611,-0.403006618070254,-0.17132271944111999,-0.3625281344468235,-0.26207782176922706,-0.03119128788710676,0.34517297537531644
mlp.dense_4h_to_h.weight,0.19564465446517687,-0.12773379237065893,-0.6657370501121045,0.23434342630807287,0.28251488994286955,0.07495678493301781,-0.022539493667418475,-0.46644151344488294,-0.23203928845305558,0.40494916320485297,-0.3025246868084174,0.7633378514733569,-0.42202605907822544,0.5533892089307881,0.19009763644872502,0.47015746362227634,0.2825167061857546,0.466648414468505,-0.3236284105114078,0.7269413767739057,-0.33582414970531266
mlp.dense_h_to_4h.weight,0.7287342489271966,-0.41522690416863417,-0.3143741837932635,,,,,,,,,,,,,-0.18110521038793428,-0.12737208760414992,-0.19061208613304037,0.43672676443011593,-0.14336090366612514,0.07919257023130205
attention.dense.weight,0.47638375055060717,-0.16942361118057067,0.07926456615903045,-0.21337570943682646,-0.11903322329667038,-0.19692279843491003,-0.3261036691764479,0.06463719202577825,-0.16951140734844422,-0.167438691639041,-0.17853671961824535,0.17398466271527435,-0.07101268440509184,-0.05364545292129202,0.6110004159650918,-0.22486843239534068,-0.11903303474664623,-0.21054218369792216,0.08508559908626548,0.05456131122971139,0.012039119319374125
attention.query_key_value.weight,0.033404065071190286,-0.11171139060473323,0.03713673887460185,0.02510924983344435,-0.013998743965315641,-0.013836078142465378,0.0024768422585160974,-0.027481928659531345,-0.11161404186128476,-0.032831323137156906,-0.1346397320334586,-0.010185975471617214,-0.09787993832504535,-0.054706715204814155,0.024742740950208984,0.02414910578428482,-0.013998948130017598,0.03093431096121633,0.20018714989651354,0.0495839763666677,0.02781491759834702
mlp.dense_4h_to_h.weight,0.525820902191271,0.3464920435225028,-0.5351466480708569,-0.0364509354408771,0.08298188946740384,-0.07833857019596915,-0.03370790610994431,-0.3225972849088546,0.06131768787934139,0.19461218284588472,0.13445724398367234,0.007769365081250951,0.4845873686992927,-0.19982617861838806,0.5561283201119143,0.6399485168452281,0.5421638388752187,0.6215287207647154,0.29464740625918107,0.5181540067664255,-0.7090754062732457
mlp.dense_h_to_4h.weight,0.6555630870122489,-0.1726222687956208,-0.5501511313603875,,,,,,,,,,,,,0.4311056604037745,-0.05166152822856278,0.5031741445460627,-0.149161375575871,0.010480902415339319,-0.07046311020195536
